ID	HMDB_ID	standard_metName	metName	Gene_name	Protein_name	Evidence	Annotation
686	HMDB0004080	Anandamide	Anandamide	CACNA1G	Voltage-dependent T-type calcium channel subunit alpha-1G	Cellinker	Channel
687	HMDB0004080	Anandamide	Anandamide	CACNA1H	Voltage-dependent T-type calcium channel subunit alpha-1H	Cellinker	Channel
688	HMDB0004080	Anandamide	Anandamide	GPR55	G-protein coupled receptor 55	Cellinker	Receptor
689	HMDB0004385	Lipoxin A4	Lipoxin A4	FPR2	N-formyl peptide receptor 2	Cellinker	Receptor
690	HMDB0004385	Lipoxin A4	Lipoxin A4	GPR32	Probable G-protein coupled receptor 32	Cellinker	Receptor
691	HMDB0004486	Geranylgeranyl-PP	Geranylgeranyl-PP	GGPS1	Geranylgeranyl pyrophosphate synthase	Cellinker	Enzyme
692	HMDB0004486	Geranylgeranyl-PP	Geranylgeranyl-PP	MVK	Mevalonate kinase	Cellinker	Enzyme
693	HMDB0004666	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	CNR2	Cannabinoid receptor 2	Cellinker	Receptor
694	HMDB0004666	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	GPR55	G-protein coupled receptor 55	Cellinker	Receptor
695	HMDB0006111	12-HETE	12-HETE	LTB4R2	Leukotriene B4 receptor 2	Cellinker	Receptor
696	HMDB0006247	25-Hydroxycholesterol	25-Hydroxycholesterol	LPAR3	Lysophosphatidic acid receptor 3	Cellinker	Receptor
697	HMDB0006247	25-Hydroxycholesterol	25-Hydroxycholesterol	LPAR4	Lysophosphatidic acid receptor 4	Cellinker	Receptor
698	HMDB0006280	7-a,25-Dihydroxycholesterol	7-a,25-Dihydroxycholesterol	TRPM2	Transient receptor potential cation channel subfamily M member 2	Cellinker	Receptor
699	HMDB0006281	7-a,27-Dihydroxycholesterol	7-a,27-Dihydroxycholesterol	PPARA	Peroxisome proliferator-activated receptor alpha	Cellinker	Nuclear Receptor
700	HMDB0011134	5-HETE	5-HETE	OXER1	Oxoeicosanoid receptor 1	Cellinker	Receptor
701	HMDB0011134	5-HETE	5-HETE	TRPV1	Transient receptor potential cation channel subfamily V member 1	Cellinker	Receptor; Channel
702	HMDB0012275	Phenylethylamine	Phenylethylamine	TAAR1	Trace amine-associated receptor 1	Cellinker	Receptor
703	HMDB0012535	12S-HHT	12S-HHT	LTB4R2	Leukotriene B4 receptor 2	Cellinker	Receptor
704	HMDB0015532	Zinc	Zinc	GLRA2	Glycine receptor subunit alpha-2	Cellinker	Receptor
705	HMDB0015532	Zinc	Zinc	ADRB2	Beta-2 adrenergic receptor	Cellinker	Receptor
706	HMDB0015532	Zinc	Zinc	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	Cellinker	Receptor
707	HMDB0015532	Zinc	Zinc	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2	Cellinker	Receptor
708	HMDB0015532	Zinc	Zinc	GABRA3	Gamma-aminobutyric acid receptor subunit alpha-3	Cellinker	Receptor
709	HMDB0015532	Zinc	Zinc	GABRA4	Gamma-aminobutyric acid receptor subunit alpha-4	Cellinker	Receptor
710	HMDB0015532	Zinc	Zinc	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5	Cellinker	Receptor
